S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
38,0,79,32,138,0,169,11,7,4,1,2,0,10,0,0,5,1,0,1,2,2,2,0,1,1,0,1,1,1,0,1,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
36,3,80,37,140,0,166,3,0,5,0,2,1,1,0,1,0,1,0,1,0,1,1,0,2,0,1,0,1,2,0,3,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
37,0,76,36,139,0,164,7,5,4,2,2,0,0,0,3,4,0,3,0,1,3,2,3,0,4,1,0,3,0,2,0,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
35,0,81,35,136,3,167,5,2,3,2,3,2,3,0,1,8,3,0,0,0,2,0,0,0,0,0,0,3,0,3,0,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
34,0,80,36,139,6,167,7,4,0,0,7,0,3,0,2,3,1,0,0,0,1,0,1,0,0,3,0,0,0,3,0,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
39,0,80,37,138,3,160,4,4,4,2,6,0,0,0,3,3,1,1,0,1,0,1,2,1,3,1,1,3,1,9,3,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
40,0,86,36,136,0,168,8,11,4,1,0,2,0,0,0,3,2,1,2,2,4,0,2,1,1,1,1,0,0,1,1,-0.207034170627594,-0.311059921979904,0.731196045875549,0.15612930059433,-0.223139315843582,0.674968481063843,0.401202857494354,-0.349272578954697,0.702290713787079,02_Jan_2025_10_24
38,0,97,28,144,1,169,6,2,4,1,0,1,5,0,0,0,0,8,0,2,0,1,1,1,0,3,0,0,1,0,0,-0.207007795572281,-0.311065256595612,0.731198310852051,0.156147390604019,-0.223119273781776,0.674955725669861,0.40121603012085,-0.349262475967407,0.702293157577515,02_Jan_2025_10_24
40,1,93,27,151,2,169,6,0,3,1,0,1,8,0,0,4,1,3,0,3,3,4,0,6,0,0,1,1,1,1,2,-0.206831723451614,-0.31093892455101,0.731116533279419,0.15620531141758,-0.223065972328186,0.674916684627533,0.401265531778336,-0.349265873432159,0.702268064022064,02_Jan_2025_10_24
36,1,96,29,147,1,168,8,3,0,3,3,1,0,0,1,0,8,1,3,1,1,1,0,1,0,1,0,2,0,1,1,-0.206727266311645,-0.310839682817459,0.73104989528656,0.156243532896042,-0.223023816943169,0.674895465373993,0.401289582252502,-0.349255472421646,0.702272295951843,02_Jan_2025_10_24
36,0,96,33,144,0,172,4,3,3,2,1,1,0,0,3,0,1,5,4,10,1,2,0,12,3,0,0,0,0,0,0,-0.206650629639626,-0.310776889324188,0.731014370918274,0.156283780932426,-0.222980782389641,0.674881160259247,0.401315897703171,-0.349254637956619,0.702276170253754,02_Jan_2025_10_24
38,0,93,32,149,1,167,7,0,3,3,2,1,4,0,0,8,1,0,2,4,0,3,0,3,2,0,1,3,2,1,0,-0.206547632813454,-0.310684531927109,0.730971813201904,0.156347811222076,-0.222919136285782,0.674868047237396,0.401354134082794,-0.349234670400619,0.702324092388153,02_Jan_2025_10_24
37,9,98,35,143,3,173,6,5,3,1,0,3,2,0,3,5,0,1,5,2,2,0,0,0,3,0,0,0,0,0,0,-0.206518039107323,-0.31067168712616,0.730974674224854,0.156389802694321,-0.22288279235363,0.674862444400787,0.401448428630829,-0.349262267351151,0.702368080615997,02_Jan_2025_10_24
37,0,97,28,148,1,172,8,4,2,0,3,0,0,0,1,3,2,1,0,0,2,0,2,0,1,1,2,1,0,1,1,-0.206512868404388,-0.310693055391312,0.730997025966644,0.156438067555428,-0.222856149077415,0.674861609935761,0.401464194059372,-0.34929832816124,0.702397465705872,02_Jan_2025_10_24
39,0,97,33,145,0,163,7,4,3,0,4,0,3,0,1,0,3,0,2,0,0,1,2,0,0,13,1,3,0,0,0,-0.206501871347427,-0.3107088804245,0.731017351150513,0.156507983803749,-0.222827449440956,0.674863040447235,0.401492893695831,-0.349334895610809,0.702437460422516,02_Jan_2025_10_24
38,0,96,35,147,1,165,7,5,2,1,0,2,2,0,0,1,1,3,0,2,6,0,0,3,0,0,0,0,0,0,0,-0.206491038203239,-0.310707449913025,0.731026172637939,0.156571045517921,-0.222806483507156,0.674872219562531,0.401536405086517,-0.349387526512146,0.702505528926849,02_Jan_2025_10_24
41,3,96,31,145,3,171,6,4,3,1,1,0,2,0,0,1,2,0,3,3,0,0,5,6,5,7,2,0,1,2,1,-0.206482067704201,-0.310698419809341,0.73102742433548,0.156608462333679,-0.222796007990837,0.674882471561432,0.401556611061096,-0.349419206380844,0.702535331249237,02_Jan_2025_10_24
41,2,95,31,145,2,170,7,4,5,3,5,3,1,0,1,7,1,2,1,6,1,0,3,0,0,0,0,0,3,3,3,-0.206473484635353,-0.310687750577927,0.731026887893677,0.15664330124855,-0.222788408398628,0.674894869327545,0.401568293571472,-0.34946620464325,0.702552497386932,02_Jan_2025_10_24
42,11,88,29,147,0,169,3,4,3,1,0,2,6,0,0,0,0,0,1,0,2,0,0,3,0,3,1,6,0,2,2,-0.206337884068489,-0.310484319925308,0.730903923511505,0.156687557697296,-0.222765535116196,0.674931824207306,0.401588678359985,-0.349525272846222,0.702598631381989,02_Jan_2025_10_24
42,0,92,34,150,1,168,4,5,5,0,0,0,0,0,0,2,1,2,3,2,2,1,3,0,1,2,0,2,0,1,0,-0.206253856420517,-0.310364663600922,0.730825185775757,0.15671506524086,-0.222748667001724,0.674967169761658,0.401600658893585,-0.349552243947983,0.702634274959564,02_Jan_2025_10_24
