,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz
207,-0.16786912,-0.32943526,0.5762736,-0.020810261,-0.065882236,0.3608524,0.10203394,0.06697052,0.31829
208,-0.16784678,-0.32943782,0.5763193,-0.022922954,-0.064824685,0.36078587,0.09892447,0.06936275,0.31823352
209,-0.16778801,-0.32946807,0.5763893,-0.025958287,-0.06337724,0.36064002,0.094071545,0.07270504,0.31780636
210,-0.16775168,-0.32943338,0.576422,-0.027923387,-0.062474206,0.36051172,0.090804435,0.07484826,0.31748766
211,-0.16765866,-0.32938963,0.57646966,-0.03082011,-0.061119057,0.36029866,0.08567567,0.07822395,0.31695712
212,-0.16759297,-0.32932472,0.5764948,-0.032700673,-0.060309753,0.36011842,0.082004145,0.08051979,0.31663442
213,-0.16746557,-0.329258,0.57653767,-0.035473675,-0.059219737,0.35979354,0.07666581,0.083907746,0.3158779
214,-0.16737582,-0.3291738,0.5765669,-0.037298445,-0.058571883,0.35955176,0.07316806,0.08611142,0.3153507
215,-0.16721267,-0.3289806,0.5766129,-0.03999984,-0.057664387,0.35914746,0.06697451,0.09007328,0.31449747
216,-0.1670399,-0.3288328,0.57665265,-0.0417867,-0.057086803,0.35885587,0.06287482,0.09259402,0.31376922
217,-0.16674629,-0.3286162,0.57669705,-0.044451594,-0.056234904,0.35842386,0.056419004,0.09647285,0.3124865
218,-0.16652724,-0.32849702,0.5767189,-0.046213113,-0.055646323,0.35816818,0.052000567,0.09900474,0.31143534
219,-0.16624016,-0.3283447,0.5767232,-0.04875669,-0.054485783,0.35782552,0.045227613,0.10251021,0.30969337
220,-0.16604108,-0.3282831,0.57673246,-0.05047372,-0.053562254,0.35760665,0.04074598,0.104566984,0.30818862
221,-0.1656966,-0.32813382,0.576763,-0.053035352,-0.052205753,0.35732117,0.035110846,0.10740981,0.30723312
222,-0.16543385,-0.32801148,0.5767963,-0.05471891,-0.051224887,0.3571254,0.031372685,0.1090957,0.3063278
223,-0.16504799,-0.32786116,0.5768284,-0.057227563,-0.049779966,0.35683072,0.02656802,0.11127608,0.305906
224,-0.16475132,-0.32773978,0.57684714,-0.05889407,-0.048921943,0.35663947,0.02355622,0.112536274,0.3056285
225,-0.16432028,-0.32746172,0.5768778,-0.061368335,-0.04776775,0.35636407,0.019275757,0.114299275,0.30539346
226,-0.16402,-0.32727352,0.5769017,-0.06299405,-0.04708174,0.35619724,0.01645794,0.115387045,0.30520484
227,-0.16354996,-0.32716945,0.5769304,-0.065333456,-0.04617142,0.3559954,0.012237849,0.117073394,0.3050747
