S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
36,7,31,13,63,0,25,18,2,5,0,15,13,11,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,-0.151739045977592,-0.257004499435425,0.701270043849945,0.0322120450437068,-0.0991279333829879,0.375156193971634,0.159732908010483,-0.0442871302366256,0.171015247702598,28_Oct_2024_16_02
39,2,32,12,65,0,26,18,0,1,7,0,0,13,0,0,6,0,0,12,1,4,0,0,0,0,3,7,1,1,1,0,-0.151604935526848,-0.256729274988174,0.701242744922638,0.0324839502573013,-0.0983378440141677,0.375488847494125,0.159716084599495,-0.0432386398315429,0.171036213636398,28_Oct_2024_16_02
39,3,32,10,63,0,27,11,0,0,2,0,1,4,0,0,3,0,1,1,1,5,0,0,0,1,0,3,5,2,1,0,-0.15142035484314,-0.256346434354782,0.701218485832214,0.0327579490840435,-0.0973391532897949,0.375847935676575,0.159759998321533,-0.0419954657554626,0.171030819416046,28_Oct_2024_16_02
42,1,32,9,65,0,24,15,11,10,0,1,13,10,0,0,4,1,7,0,0,6,0,2,0,1,0,1,0,0,0,0,-0.1513552069664,-0.256223320960998,0.701211273670197,0.0328025594353675,-0.0970654785633087,0.375924170017242,0.159861624240875,-0.0416336320340633,0.171035930514336,28_Oct_2024_16_02
42,0,34,13,63,2,22,14,1,2,0,0,0,3,0,1,2,3,4,0,0,3,0,0,0,1,0,3,0,5,8,0,-0.151158556342125,-0.255853235721588,0.701209843158722,0.0328867733478546,-0.0962048918008804,0.37622058391571,0.160191535949707,-0.0408961549401283,0.171151891350746,28_Oct_2024_16_02
40,1,38,5,62,0,21,15,3,2,1,1,1,0,0,7,2,0,0,2,0,5,1,0,0,0,0,2,0,2,0,2,-0.151034355163574,-0.255630284547806,0.701214790344238,0.0328721143305301,-0.0956208854913711,0.376416772603989,0.160544812679291,-0.0408347845077514,0.171275600790977,28_Oct_2024_16_02
40,1,36,7,62,1,24,12,0,0,1,0,0,0,0,0,1,7,1,11,0,3,1,0,0,0,1,0,3,4,2,3,-0.150908708572388,-0.255432903766632,0.701222896575928,0.0327845141291618,-0.095089316368103,0.376583367586136,0.160872176289558,-0.0409741774201393,0.171369507908821,28_Oct_2024_16_02
38,1,36,10,64,0,24,15,0,1,0,1,0,0,0,0,3,1,2,0,2,9,0,0,0,1,0,1,0,1,0,0,-0.150682553648949,-0.255149006843567,0.701255142688751,0.0325203612446785,-0.0944372043013572,0.376753926277161,0.161549746990204,-0.0416115336120128,0.171589523553848,28_Oct_2024_16_02
38,1,40,13,66,0,27,18,1,1,1,0,0,0,0,1,3,0,0,0,2,4,6,4,9,0,0,4,0,0,0,0,-0.150515660643578,-0.25498029589653,0.701290249824524,0.0322521850466728,-0.094076782464981,0.376821547746658,0.162125930190086,-0.042269229888916,0.171783775091171,28_Oct_2024_16_02
43,1,36,8,66,0,24,16,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,2,0,0,-0.150349408388138,-0.254790395498276,0.701339662075043,0.0319132283329963,-0.093797318637371,0.376848101615906,0.162728801369667,-0.0431505814194679,0.172007381916046,28_Oct_2024_16_02
40,4,38,9,64,1,25,15,0,1,1,1,0,9,0,0,2,0,0,0,3,4,1,0,0,0,0,5,13,1,0,0,-0.150153875350952,-0.25456377863884,0.701362013816834,0.0312767587602138,-0.0934497117996215,0.376841992139816,0.163788303732872,-0.0447941347956657,0.172472044825554,28_Oct_2024_16_02
42,1,38,9,59,8,22,13,0,5,0,1,8,1,0,0,1,0,1,0,1,5,0,0,0,0,0,3,0,1,0,3,-0.150059103965759,-0.254426538944244,0.701344966888428,0.0307871662080287,-0.0932693406939506,0.376815855503082,0.164536371827125,-0.0460916012525558,0.17278428375721,28_Oct_2024_16_02
41,10,40,7,67,0,26,15,1,3,0,0,1,4,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,-0.149997860193253,-0.254305571317673,0.701373100280762,0.030257573351264,-0.0931516960263252,0.376754730939865,0.165365427732468,-0.0475711710751056,0.173143044114113,28_Oct_2024_16_02
41,1,38,13,67,14,23,10,0,2,8,0,1,0,0,0,9,1,1,0,3,7,1,0,0,0,0,2,0,4,1,0,-0.149968907237053,-0.254155904054642,0.701449453830719,0.0294313021004199,-0.0930769741535186,0.376629531383514,0.16672657430172,-0.050195075571537,0.173828393220902,28_Oct_2024_16_02
44,1,41,8,65,1,27,12,0,1,0,0,1,4,0,1,9,0,0,0,0,8,1,0,1,0,0,3,0,0,1,0,-0.150041788816452,-0.254155963659286,0.701534986495972,0.0289012864232063,-0.0930963307619094,0.376515001058578,0.167745932936668,-0.0521039366722106,0.17432464659214,28_Oct_2024_16_02
41,0,40,9,74,0,26,14,1,11,4,2,0,2,0,0,2,1,2,1,0,5,0,0,0,1,0,0,2,0,1,0,-0.150125622749329,-0.254145532846451,0.701618671417236,0.0283894948661327,-0.0932056084275245,0.376382827758789,0.168774828314781,-0.0541817657649517,0.174861207604408,28_Oct_2024_16_02
